# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.8375,4.9195,0.7293,0.7293
-0.8375,4.9067,0.7308,0.7308
-0.8375,4.8939,0.7325,0.7325
-0.8375,4.8812,0.7345,0.7345
-0.8375,4.8686,0.7368,0.7368
-0.8375,4.8559,0.7393,0.7393
-0.8375,4.8433,0.7422,0.7422
-0.8375,4.8308,0.7448,0.7448
-0.8375,4.8184,0.7462,0.7462
-0.8375,4.8062,0.7452,0.7452
-0.8375,4.7940,0.7423,0.7423
-0.8375,4.7819,0.7389,0.7389
-0.8375,4.7696,0.7356,0.7356
-0.8375,4.7573,0.7325,0.7325
-0.8375,4.7449,0.7296,0.7296
-0.8375,4.7324,0.7270,0.7270
-0.8375,4.7199,0.7245,0.7245
-0.8375,4.7072,0.7223,0.7223
-0.8375,4.6945,0.7204,0.7204
-0.8375,4.6818,0.7186,0.7186
-0.8375,4.6690,0.7171,0.7171
-0.8375,4.6562,0.7159,0.7159
-0.8375,4.6433,0.7148,0.7148
-0.8375,4.6303,0.7140,0.7140
-0.8375,4.6174,0.7133,0.7133
-0.8375,4.6044,0.7129,0.7129
-0.8375,4.5914,0.7125,0.7125
-0.8375,4.5784,0.7124,0.7124
-0.8375,4.5653,0.7123,0.7123
-0.8375,4.5523,0.7123,0.7123
-0.8376,4.5393,0.7125,0.7125
-0.8377,4.5262,0.7125,0.7125
-0.8373,4.5136,0.7127,0.7127
-0.8315,4.5063,0.7184,0.7184
-0.8254,4.4995,0.7246,0.7246
-0.8246,4.4872,0.7254,0.7254
-0.8251,4.4737,0.7249,0.7249
-0.8251,4.4608,0.7249,0.7249
-0.8249,4.4480,0.7251,0.7251
-0.8250,4.4348,0.7250,0.7250
-0.8255,4.4214,0.7245,0.7245
-0.8233,4.4105,0.7267,0.7267
-0.8164,4.4045,0.7336,0.7336
-0.8122,4.3957,0.7378,0.7378
-0.8124,4.3825,0.7376,0.7376
-0.8125,4.3693,0.7375,0.7375
-0.8125,4.3563,0.7375,0.7375
-0.8125,4.3433,0.7375,0.7375
-0.8125,4.3304,0.7375,0.7375
-0.8125,4.3174,0.7375,0.7375
-0.8125,4.3044,0.7375,0.7375
-0.8125,4.2913,0.7375,0.7375
-0.8125,4.2783,0.7375,0.7375
-0.8125,4.2653,0.7375,0.7375
-0.8125,4.2523,0.7375,0.7375
-0.8125,4.2393,0.7375,0.7375
-0.8125,4.2263,0.7375,0.7375
